Date,State,City,Fuel_Type,Price_Per_Liter
1970-07-01,Karnataka,Bangalore,Diesel,22.15
1970-07-01,Tamil Nadu,Coimbatore,Petrol,25.82
1970-07-01,Tamil Nadu,Coimbatore,Diesel,21.29
1970-07-01,West Bengal,Kolkata,Petrol,27.88
1970-07-01,West Bengal,Kolkata,Diesel,20.67
1970-07-01,Gujarat,Surat,Petrol,26.49
1970-07-01,Gujarat,Surat,Diesel,21.04
1970-07-01,Rajasthan,Udaipur,Petrol,29.54
1970-07-01,Rajasthan,Udaipur,Diesel,23.51
1970-07-01,Uttar Pradesh,Lucknow,Petrol,28.12
1970-07-01,Uttar Pradesh,Lucknow,Diesel,20.35
1970-08-01,Maharashtra,Pune,Petrol,27.81
1970-08-01,Maharashtra,Pune,Diesel,22.06
1970-08-01,Delhi,New Delhi,Petrol,27.21
1970-08-01,Delhi,New Delhi,Diesel,21.45
1970-08-01,Karnataka,Mysore,Petrol,28.49
1970-08-01,Karnataka,Mysore,Diesel,21.25
1970-08-01,Tamil Nadu,Chennai,Petrol,27.79
1970-08-01,Tamil Nadu,Chennai,Diesel,20.53
1970-08-01,West Bengal,Kolkata,Petrol,26.7
1970-08-01,West Bengal,Kolkata,Diesel,21.57
1970-08-01,Gujarat,Surat,Petrol,28.96
1970-08-01,Gujarat,Surat,Diesel,21.55
1970-08-01,Rajasthan,Jaipur,Petrol,29.38
1970-08-01,Rajasthan,Jaipur,Diesel,21.68
1970-08-01,Uttar Pradesh,Lucknow,Petrol,28.32
1970-08-01,Uttar Pradesh,Lucknow,Diesel,21.76
1970-09-01,Maharashtra,Nagpur,Petrol,29.38
1970-09-01,Maharashtra,Nagpur,Diesel,20.07
1970-09-01,Delhi,New Delhi,Petrol,26.98
1970-09-01,Delhi,New Delhi,Diesel,20.2
1970-09-01,Karnataka,Mysore,Petrol,27.92
1970-09-01,Karnataka,Mysore,Diesel,21.46
1970-09-01,Tamil Nadu,Chennai,Petrol,27.97
1970-09-01,Tamil Nadu,Chennai,Diesel,21.39
1970-09-01,West Bengal,Darjeeling,Petrol,28.06
1970-09-01,West Bengal,Darjeeling,Diesel,21.7
1970-09-01,Gujarat,Ahmedabad,Petrol,28.74
1970-09-01,Gujarat,Ahmedabad,Diesel,22.14
1970-09-01,Rajasthan,Jaipur,Petrol,28.39
1970-09-01,Rajasthan,Jaipur,Diesel,22.56
1970-09-01,Uttar Pradesh,Lucknow,Petrol,29.47
1970-09-01,Uttar Pradesh,Lucknow,Diesel,20.95
1970-10-01,Maharashtra,Mumbai,Petrol,28.29
1970-10-01,Maharashtra,Mumbai,Diesel,21.61
1970-10-01,Delhi,New Delhi,Petrol,28.34
1970-10-01,Delhi,New Delhi,Diesel,21.53
1970-10-01,Karnataka,Bangalore,Petrol,26.67
1970-10-01,Karnataka,Bangalore,Diesel,20.26
1970-10-01,Tamil Nadu,Coimbatore,Petrol,29.45
1970-10-01,Tamil Nadu,Coimbatore,Diesel,20.21
1970-10-01,West Bengal,Darjeeling,Petrol,28.23
1970-10-01,West Bengal,Darjeeling,Diesel,22.88
1970-10-01,Gujarat,Ahmedabad,Petrol,26.66
1970-10-01,Gujarat,Ahmedabad,Diesel,19.35
1970-10-01,Rajasthan,Udaipur,Petrol,27.02
1970-10-01,Rajasthan,Udaipur,Diesel,21.98
1970-10-01,Uttar Pradesh,Lucknow,Petrol,28.38
1970-10-01,Uttar Pradesh,Lucknow,Diesel,19.7
1970-11-01,Maharashtra,Nagpur,Petrol,29.69
1970-11-01,Maharashtra,Nagpur,Diesel,22.49
1970-11-01,Delhi,New Delhi,Petrol,27.45
1970-11-01,Delhi,New Delhi,Diesel,19.28
1970-11-01,Karnataka,Mysore,Petrol,28.41
1970-11-01,Karnataka,Mysore,Diesel,20.79
1970-11-01,Tamil Nadu,Chennai,Petrol,29.5
1970-11-01,Tamil Nadu,Chennai,Diesel,20.41
1970-11-01,West Bengal,Kolkata,Petrol,29.08
1970-11-01,West Bengal,Kolkata,Diesel,21.48
1970-11-01,Gujarat,Ahmedabad,Petrol,28.15
1970-11-01,Gujarat,Ahmedabad,Diesel,21.06
1970-11-01,Rajasthan,Udaipur,Petrol,27.01
1970-11-01,Rajasthan,Udaipur,Diesel,18.83
1970-11-01,Uttar Pradesh,Kanpur,Petrol,27.46
1970-11-01,Uttar Pradesh,Kanpur,Diesel,20.14
1970-12-01,Maharashtra,Nagpur,Petrol,26.22
1970-12-01,Maharashtra,Nagpur,Diesel,19.82
1970-12-01,Delhi,New Delhi,Petrol,26.8
1970-12-01,Delhi,New Delhi,Diesel,21.48
1970-12-01,Karnataka,Mysore,Petrol,30.25
1970-12-01,Karnataka,Mysore,Diesel,23.18
1970-12-01,Tamil Nadu,Chennai,Petrol,27.81
1970-12-01,Tamil Nadu,Chennai,Diesel,21.19
1970-12-01,West Bengal,Kolkata,Petrol,29.1
1970-12-01,West Bengal,Kolkata,Diesel,21.0
1970-12-01,Gujarat,Surat,Petrol,25.09
1970-12-01,Gujarat,Surat,Diesel,18.57
1970-12-01,Rajasthan,Udaipur,Petrol,29.38
1970-12-01,Rajasthan,Udaipur,Diesel,20.86
1970-12-01,Uttar Pradesh,Lucknow,Petrol,26.78
1970-12-01,Uttar Pradesh,Lucknow,Diesel,19.93
1971-01-01,Maharashtra,Pune,Petrol,29.6
1971-01-01,Maharashtra,Pune,Diesel,20.73
1971-01-01,Delhi,New Delhi,Petrol,29.46
1971-01-01,Delhi,New Delhi,Diesel,21.52
1971-01-01,Karnataka,Bangalore,Petrol,30.13
1971-01-01,Karnataka,Bangalore,Diesel,22.74
1971-01-01,Tamil Nadu,Chennai,Petrol,31.06
1971-01-01,Tamil Nadu,Chennai,Diesel,23.28
1971-01-01,West Bengal,Kolkata,Petrol,27.55
1971-01-01,West Bengal,Kolkata,Diesel,21.48
1971-01-01,Gujarat,Surat,Petrol,29.62
1971-01-01,Gujarat,Surat,Diesel,22.04
1971-01-01,Rajasthan,Jaipur,Petrol,27.62
1971-01-01,Rajasthan,Jaipur,Diesel,21.03
1971-01-01,Uttar Pradesh,Kanpur,Petrol,28.89
1971-01-01,Uttar Pradesh,Kanpur,Diesel,22.1
1971-02-01,Maharashtra,Nagpur,Petrol,29.12
1971-02-01,Maharashtra,Nagpur,Diesel,22.89
1971-02-01,Delhi,New Delhi,Petrol,27.11
1971-02-01,Delhi,New Delhi,Diesel,21.18
1971-02-01,Karnataka,Bangalore,Petrol,29.33
1971-02-01,Karnataka,Bangalore,Diesel,22.84
1971-02-01,Tamil Nadu,Chennai,Petrol,28.73
1971-02-01,Tamil Nadu,Chennai,Diesel,22.36
1971-02-01,West Bengal,Darjeeling,Petrol,29.36
1971-02-01,West Bengal,Darjeeling,Diesel,23.04
1971-02-01,Gujarat,Ahmedabad,Petrol,28.02
1971-02-01,Gujarat,Ahmedabad,Diesel,22.18
1971-02-01,Rajasthan,Udaipur,Petrol,27.52
1971-02-01,Rajasthan,Udaipur,Diesel,19.86
1971-02-01,Uttar Pradesh,Lucknow,Petrol,27.91
1971-02-01,Uttar Pradesh,Lucknow,Diesel,22.3
1971-03-01,Maharashtra,Pune,Petrol,27.83
1971-03-01,Maharashtra,Pune,Diesel,21.86
1971-03-01,Delhi,New Delhi,Petrol,29.23
1971-03-01,Delhi,New Delhi,Diesel,19.42
1971-03-01,Karnataka,Bangalore,Petrol,30.56
1971-03-01,Karnataka,Bangalore,Diesel,23.82
1971-03-01,Tamil Nadu,Coimbatore,Petrol,29.57
1971-03-01,Tamil Nadu,Coimbatore,Diesel,23.11
1971-03-01,West Bengal,Kolkata,Petrol,26.98
1971-03-01,West Bengal,Kolkata,Diesel,21.78
1971-03-01,Gujarat,Ahmedabad,Petrol,27.18
1971-03-01,Gujarat,Ahmedabad,Diesel,21.32
1971-03-01,Rajasthan,Jaipur,Petrol,30.3
1971-03-01,Rajasthan,Jaipur,Diesel,21.05
1971-03-01,Uttar Pradesh,Lucknow,Petrol,30.14
1971-03-01,Uttar Pradesh,Lucknow,Diesel,20.75
1971-04-01,Maharashtra,Pune,Petrol,28.27
1971-04-01,Maharashtra,Pune,Diesel,20.48
1971-04-01,Delhi,New Delhi,Petrol,27.67
1971-04-01,Delhi,New Delhi,Diesel,21.77
1971-04-01,Karnataka,Bangalore,Petrol,26.73
1971-04-01,Karnataka,Bangalore,Diesel,21.55
1971-04-01,Tamil Nadu,Coimbatore,Petrol,28.56
1971-04-01,Tamil Nadu,Coimbatore,Diesel,21.65
1971-04-01,West Bengal,Darjeeling,Petrol,29.68
1971-04-01,West Bengal,Darjeeling,Diesel,22.27
1971-04-01,Gujarat,Surat,Petrol,28.47
1971-04-01,Gujarat,Surat,Diesel,19.79
1971-04-01,Rajasthan,Jaipur,Petrol,29.07
1971-04-01,Rajasthan,Jaipur,Diesel,22.18
1971-04-01,Uttar Pradesh,Kanpur,Petrol,26.62
1971-04-01,Uttar Pradesh,Kanpur,Diesel,21.06
1971-05-01,Maharashtra,Mumbai,Petrol,26.51
1971-05-01,Maharashtra,Mumbai,Diesel,20.05
1971-05-01,Delhi,New Delhi,Petrol,27.99
1971-05-01,Delhi,New Delhi,Diesel,20.63
1971-05-01,Karnataka,Mysore,Petrol,28.54
1971-05-01,Karnataka,Mysore,Diesel,20.3
1971-05-01,Tamil Nadu,Chennai,Petrol,29.94
1971-05-01,Tamil Nadu,Chennai,Diesel,21.54
1971-05-01,West Bengal,Kolkata,Petrol,27.44
1971-05-01,West Bengal,Kolkata,Diesel,20.91
1971-05-01,Gujarat,Ahmedabad,Petrol,27.46
1971-05-01,Gujarat,Ahmedabad,Diesel,21.05
1971-05-01,Rajasthan,Udaipur,Petrol,27.27
1971-05-01,Rajasthan,Udaipur,Diesel,21.76
1971-05-01,Uttar Pradesh,Kanpur,Petrol,26.99
1971-05-01,Uttar Pradesh,Kanpur,Diesel,19.43
1971-06-01,Maharashtra,Nagpur,Petrol,29.43
1971-06-01,Maharashtra,Nagpur,Diesel,20.81
1971-06-01,Delhi,New Delhi,Petrol,27.49
1971-06-01,Delhi,New Delhi,Diesel,20.16
1971-06-01,Karnataka,Bangalore,Petrol,27.34
1971-06-01,Karnataka,Bangalore,Diesel,21.65
1971-06-01,Tamil Nadu,Coimbatore,Petrol,27.68
1971-06-01,Tamil Nadu,Coimbatore,Diesel,21.21
1971-06-01,West Bengal,Darjeeling,Petrol,29.06
1971-06-01,West Bengal,Darjeeling,Diesel,21.26
1971-06-01,Gujarat,Ahmedabad,Petrol,29.06
1971-06-01,Gujarat,Ahmedabad,Diesel,22.62
1971-06-01,Rajasthan,Jaipur,Petrol,30.64
1971-06-01,Rajasthan,Jaipur,Diesel,23.11
1971-06-01,Uttar Pradesh,Lucknow,Petrol,29.17
1971-06-01,Uttar Pradesh,Lucknow,Diesel,22.2
1971-07-01,Maharashtra,Pune,Petrol,27.89
1971-07-01,Maharashtra,Pune,Diesel,21.68
1971-07-01,Delhi,New Delhi,Petrol,29.05
1971-07-01,Delhi,New Delhi,Diesel,22.97
1971-07-01,Karnataka,Mysore,Petrol,30.18
1971-07-01,Karnataka,Mysore,Diesel,21.29
1971-07-01,Tamil Nadu,Chennai,Petrol,26.01
1971-07-01,Tamil Nadu,Chennai,Diesel,21.23
1971-07-01,West Bengal,Darjeeling,Petrol,28.4
1971-07-01,West Bengal,Darjeeling,Diesel,23.08
1971-07-01,Gujarat,Ahmedabad,Petrol,28.73
1971-07-01,Gujarat,Ahmedabad,Diesel,20.47
1971-07-01,Rajasthan,Jaipur,Petrol,28.43
1971-07-01,Rajasthan,Jaipur,Diesel,22.69
1971-07-01,Uttar Pradesh,Lucknow,Petrol,28.46
1971-07-01,Uttar Pradesh,Lucknow,Diesel,23.58
1971-08-01,Maharashtra,Pune,Petrol,27.2
1971-08-01,Maharashtra,Pune,Diesel,20.0
1971-08-01,Delhi,New Delhi,Petrol,29.77
1971-08-01,Delhi,New Delhi,Diesel,22.71
1971-08-01,Karnataka,Bangalore,Petrol,28.96
1971-08-01,Karnataka,Bangalore,Diesel,22.3
1971-08-01,Tamil Nadu,Coimbatore,Petrol,28.91
1971-08-01,Tamil Nadu,Coimbatore,Diesel,20.62
1971-08-01,West Bengal,Darjeeling,Petrol,29.46
1971-08-01,West Bengal,Darjeeling,Diesel,22.18
1971-08-01,Gujarat,Ahmedabad,Petrol,26.43
1971-08-01,Gujarat,Ahmedabad,Diesel,21.99
1971-08-01,Rajasthan,Jaipur,Petrol,27.62
1971-08-01,Rajasthan,Jaipur,Diesel,21.88
1971-08-01,Uttar Pradesh,Lucknow,Petrol,29.76
1971-08-01,Uttar Pradesh,Lucknow,Diesel,23.45
1971-09-01,Maharashtra,Nagpur,Petrol,28.56
1971-09-01,Maharashtra,Nagpur,Diesel,19.54
1971-09-01,Delhi,New Delhi,Petrol,28.18
1971-09-01,Delhi,New Delhi,Diesel,21.72
1971-09-01,Karnataka,Mysore,Petrol,27.73
1971-09-01,Karnataka,Mysore,Diesel,20.19
1971-09-01,Tamil Nadu,Coimbatore,Petrol,27.59
1971-09-01,Tamil Nadu,Coimbatore,Diesel,21.45
1971-09-01,West Bengal,Darjeeling,Petrol,29.92
1971-09-01,West Bengal,Darjeeling,Diesel,22.52
1971-09-01,Gujarat,Surat,Petrol,28.22
1971-09-01,Gujarat,Surat,Diesel,22.16
1971-09-01,Rajasthan,Udaipur,Petrol,28.04
1971-09-01,Rajasthan,Udaipur,Diesel,19.63
1971-09-01,Uttar Pradesh,Kanpur,Petrol,31.06
1971-09-01,Uttar Pradesh,Kanpur,Diesel,22.27
1971-10-01,Maharashtra,Mumbai,Petrol,30.69
1971-10-01,Maharashtra,Mumbai,Diesel,23.25
1971-10-01,Delhi,New Delhi,Petrol,26.66
1971-10-01,Delhi,New Delhi,Diesel,20.2
1971-10-01,Karnataka,Mysore,Petrol,28.66
1971-10-01,Karnataka,Mysore,Diesel,21.43
1971-10-01,Tamil Nadu,Chennai,Petrol,29.01
1971-10-01,Tamil Nadu,Chennai,Diesel,22.39
1971-10-01,West Bengal,Kolkata,Petrol,28.38
1971-10-01,West Bengal,Kolkata,Diesel,23.69
1971-10-01,Gujarat,Ahmedabad,Petrol,28.24
1971-10-01,Gujarat,Ahmedabad,Diesel,19.79
1971-10-01,Rajasthan,Jaipur,Petrol,29.85
1971-10-01,Rajasthan,Jaipur,Diesel,21.2
1971-10-01,Uttar Pradesh,Lucknow,Petrol,29.48
1971-10-01,Uttar Pradesh,Lucknow,Diesel,22.8
1971-11-01,Maharashtra,Pune,Petrol,26.05
1971-11-01,Maharashtra,Pune,Diesel,21.86
1971-11-01,Delhi,New Delhi,Petrol,29.52
1971-11-01,Delhi,New Delhi,Diesel,21.04
1971-11-01,Karnataka,Bangalore,Petrol,27.38
1971-11-01,Karnataka,Bangalore,Diesel,19.73
1971-11-01,Tamil Nadu,Coimbatore,Petrol,28.49
1971-11-01,Tamil Nadu,Coimbatore,Diesel,20.91
1971-11-01,West Bengal,Darjeeling,Petrol,28.59
1971-11-01,West Bengal,Darjeeling,Diesel,22.22
1971-11-01,Gujarat,Surat,Petrol,29.31
1971-11-01,Gujarat,Surat,Diesel,20.82
1971-11-01,Rajasthan,Jaipur,Petrol,29.21
1971-11-01,Rajasthan,Jaipur,Diesel,21.52
1971-11-01,Uttar Pradesh,Kanpur,Petrol,30.45
1971-11-01,Uttar Pradesh,Kanpur,Diesel,22.25
1971-12-01,Maharashtra,Pune,Petrol,28.63
1971-12-01,Maharashtra,Pune,Diesel,23.11
1971-12-01,Delhi,New Delhi,Petrol,28.17
1971-12-01,Delhi,New Delhi,Diesel,21.91
1971-12-01,Karnataka,Bangalore,Petrol,25.88
1971-12-01,Karnataka,Bangalore,Diesel,22.01
1971-12-01,Tamil Nadu,Coimbatore,Petrol,26.84
1971-12-01,Tamil Nadu,Coimbatore,Diesel,19.43
1971-12-01,West Bengal,Kolkata,Petrol,27.83
1971-12-01,West Bengal,Kolkata,Diesel,19.64
1971-12-01,Gujarat,Ahmedabad,Petrol,28.72
1971-12-01,Gujarat,Ahmedabad,Diesel,22.05
1971-12-01,Rajasthan,Udaipur,Petrol,28.1
1971-12-01,Rajasthan,Udaipur,Diesel,21.78
1971-12-01,Uttar Pradesh,Kanpur,Petrol,28.61
1971-12-01,Uttar Pradesh,Kanpur,Diesel,22.16
1972-01-01,Maharashtra,Mumbai,Petrol,28.8
1972-01-01,Maharashtra,Mumbai,Diesel,21.32
1972-01-01,Delhi,New Delhi,Petrol,30.57
1972-01-01,Delhi,New Delhi,Diesel,21.72
1972-01-01,Karnataka,Mysore,Petrol,29.37
1972-01-01,Karnataka,Mysore,Diesel,19.73
1972-01-01,Tamil Nadu,Coimbatore,Petrol,31.12
1972-01-01,Tamil Nadu,Coimbatore,Diesel,21.32
1972-01-01,West Bengal,Darjeeling,Petrol,27.41
1972-01-01,West Bengal,Darjeeling,Diesel,22.61
1972-01-01,Gujarat,Ahmedabad,Petrol,28.34
1972-01-01,Gujarat,Ahmedabad,Diesel,21.35
1972-01-01,Rajasthan,Udaipur,Petrol,28.05
1972-01-01,Rajasthan,Udaipur,Diesel,21.75
1972-01-01,Uttar Pradesh,Lucknow,Petrol,29.74
1972-01-01,Uttar Pradesh,Lucknow,Diesel,20.65
1972-02-01,Maharashtra,Mumbai,Petrol,26.92
1972-02-01,Maharashtra,Mumbai,Diesel,21.41
1972-02-01,Delhi,New Delhi,Petrol,29.48
1972-02-01,Delhi,New Delhi,Diesel,23.22
1972-02-01,Karnataka,Mysore,Petrol,27.76
1972-02-01,Karnataka,Mysore,Diesel,22.06
1972-02-01,Tamil Nadu,Coimbatore,Petrol,26.95
1972-02-01,Tamil Nadu,Coimbatore,Diesel,22.17
1972-02-01,West Bengal,Kolkata,Petrol,29.06
1972-02-01,West Bengal,Kolkata,Diesel,22.83
1972-02-01,Gujarat,Surat,Petrol,27.24
1972-02-01,Gujarat,Surat,Diesel,20.16
1972-02-01,Rajasthan,Udaipur,Petrol,27.26
1972-02-01,Rajasthan,Udaipur,Diesel,19.77
1972-02-01,Uttar Pradesh,Lucknow,Petrol,29.19
1972-02-01,Uttar Pradesh,Lucknow,Diesel,20.66
1972-03-01,Maharashtra,Mumbai,Petrol,26.82
1972-03-01,Maharashtra,Mumbai,Diesel,21.15
1972-03-01,Delhi,New Delhi,Petrol,28.3
1972-03-01,Delhi,New Delhi,Diesel,20.51
1972-03-01,Karnataka,Mysore,Petrol,30.28
1972-03-01,Karnataka,Mysore,Diesel,21.49
1972-03-01,Tamil Nadu,Chennai,Petrol,28.03
1972-03-01,Tamil Nadu,Chennai,Diesel,22.13
1972-03-01,West Bengal,Darjeeling,Petrol,29.86
1972-03-01,West Bengal,Darjeeling,Diesel,21.75
1972-03-01,Gujarat,Surat,Petrol,28.42
1972-03-01,Gujarat,Surat,Diesel,22.99
1972-03-01,Rajasthan,Udaipur,Petrol,28.98
1972-03-01,Rajasthan,Udaipur,Diesel,22.77
1972-03-01,Uttar Pradesh,Lucknow,Petrol,27.66
1972-03-01,Uttar Pradesh,Lucknow,Diesel,21.67
1972-04-01,Maharashtra,Mumbai,Petrol,27.56
1972-04-01,Maharashtra,Mumbai,Diesel,21.2
1972-04-01,Delhi,New Delhi,Petrol,30.12
1972-04-01,Delhi,New Delhi,Diesel,22.81
1972-04-01,Karnataka,Mysore,Petrol,30.09
1972-04-01,Karnataka,Mysore,Diesel,22.65
1972-04-01,Tamil Nadu,Coimbatore,Petrol,26.54
1972-04-01,Tamil Nadu,Coimbatore,Diesel,21.33
1972-04-01,West Bengal,Darjeeling,Petrol,28.02
1972-04-01,West Bengal,Darjeeling,Diesel,20.63
1972-04-01,Gujarat,Surat,Petrol,28.74
1972-04-01,Gujarat,Surat,Diesel,22.08
1972-04-01,Rajasthan,Jaipur,Petrol,27.95
1972-04-01,Rajasthan,Jaipur,Diesel,21.24
1972-04-01,Uttar Pradesh,Kanpur,Petrol,28.49
1972-04-01,Uttar Pradesh,Kanpur,Diesel,21.07
1972-05-01,Maharashtra,Nagpur,Petrol,28.4
1972-05-01,Maharashtra,Nagpur,Diesel,23.39
1972-05-01,Delhi,New Delhi,Petrol,27.79
1972-05-01,Delhi,New Delhi,Diesel,20.76
1972-05-01,Karnataka,Bangalore,Petrol,28.15
1972-05-01,Karnataka,Bangalore,Diesel,21.03
1972-05-01,Tamil Nadu,Coimbatore,Petrol,26.21
1972-05-01,Tamil Nadu,Coimbatore,Diesel,21.16
1972-05-01,West Bengal,Darjeeling,Petrol,30.35
1972-05-01,West Bengal,Darjeeling,Diesel,22.37
1972-05-01,Gujarat,Ahmedabad,Petrol,29.21
1972-05-01,Gujarat,Ahmedabad,Diesel,21.63
1972-05-01,Rajasthan,Jaipur,Petrol,29.69
1972-05-01,Rajasthan,Jaipur,Diesel,22.01
1972-05-01,Uttar Pradesh,Kanpur,Petrol,27.22
1972-05-01,Uttar Pradesh,Kanpur,Diesel,20.06
1972-06-01,Maharashtra,Nagpur,Petrol,27.49
1972-06-01,Maharashtra,Nagpur,Diesel,22.69
1972-06-01,Delhi,New Delhi,Petrol,25.66
1972-06-01,Delhi,New Delhi,Diesel,20.91
1972-06-01,Karnataka,Mysore,Petrol,26.73
1972-06-01,Karnataka,Mysore,Diesel,20.89
1972-06-01,Tamil Nadu,Chennai,Petrol,28.93
1972-06-01,Tamil Nadu,Chennai,Diesel,20.76
1972-06-01,West Bengal,Darjeeling,Petrol,26.87
1972-06-01,West Bengal,Darjeeling,Diesel,20.53
1972-06-01,Gujarat,Ahmedabad,Petrol,26.68
1972-06-01,Gujarat,Ahmedabad,Diesel,18.87
1972-06-01,Rajasthan,Jaipur,Petrol,29.94
1972-06-01,Rajasthan,Jaipur,Diesel,21.2
1972-06-01,Uttar Pradesh,Kanpur,Petrol,29.56
1972-06-01,Uttar Pradesh,Kanpur,Diesel,22.62
